,ID,vendor+AF8-id,pickup+AF8-loc,drop+AF8-loc,driver+AF8-tip,mta+AF8-tax,distance,pickup+AF8-time,drop+AF8-time,num+AF8-passengers,toll+AF8-amount,payment+AF8-method,rate+AF8-code,stored+AF8-flag,extra+AF8-charges,improvement+AF8-charge,total+AF8-amount
18,18,2,141.0,263.0,1.0,0.5,1.0,4/5/2017 16:06,4/5/2017 16:11,1.0,0.0,1.0,1.0,N,1.0,0.3,8.3
19,19,1,264.0,264.0,0.0,0.5,2.2,4/3/2017 8:52,4/3/2017 9:05,1.0,0.0,2.0,1.0,N,0.0,0.3,11.8
20,20,2,211.0,90.0,1.0,0.5,1.73,4/3/2017 17:30,4/3/2017 17:41,1.0,0.0,1.0,1.0,N,1.0,0.3,11.3
21,21,2,138.0,232.0,4.0,0.5,8.92,4/6/2017 13:41,4/6/2017 14:08,3.0,5.54,1.0,1.0,N,0.0,0.3,38.84
22,22,1,164.0,170.0,0.95,0.5,0.4,4/6/2017 6:57,4/6/2017 7:00,1.0,0.0,1.0,1.0,N,0.0,0.3,5.75
23,23,1,141.0,170.0,3.0,0.5,2.3,4/7/2017 13:46,4/7/2017 14:00,1.0,0.0,1.0,1.0,N,0.0,0.3,15.3
24,24,1,68.0,143.0,1.03,0.5,1.9,4/4/2017 16:34,4/4/2017 16:43,1.0,0.0,1.0,1.0,N,1.0,0.3,11.33
25,25,2,148.0,79.0,1.96,0.5,1.17,4/5/2017 19:04,4/5/2017 19:14,2.0,0.0,1.0,1.0,N,1.0,0.3,11.76
26,26,1,138.0,229.0,4.0,0.5,9.9,4/7/2017 14:50,4/7/2017 15:18,1.0,5.76,1.0,1.0,N,0.0,0.3,40.06
27,27,2,237.0,170.0,2.82,0.5,0.89,4/6/2017 9:35,4/6/2017 9:51,2.0,0.0,1.0,1.0,N,0.0,0.3,14.12
28,28,2,261.0,164.0,0.0,0.5,4.6,4/6/2017 16:16,4/6/2017 17:01,4.0,0.0,2.0,1.0,N,1.0,0.3,29.3
29,29,1,236.0,50.0,0.22,0.5,2.6,4/4/2017 14:29,4/4/2017 14:48,1.0,0.0,1.0,1.0,N,0.0,0.3,15.02
30,30,1,230.0,170.0,2.45,0.5,1.3,4/7/2017 12:55,4/7/2017 13:13,1.0,0.0,1.0,1.0,N,0.0,0.3,14.75
31,31,2,114.0,138.0,6.46,0.5,10.15,4/3/2017 6:59,4/3/2017 7:27,1.0,0.0,1.0,1.0,N,0.0,0.3,38.76
32,32,1,230.0,138.0,5.0,0.5,9.7,4/3/2017 9:20,4/3/2017 9:57,1.0,0.0,1.0,1.0,N,0.0,0.3,40.8
33,33,1,236.0,237.0,0.0,0.5,1.8,4/7/2017 10:17,4/7/2017 10:40,1.0,0.0,2.0,1.0,N,0.0,0.3,15.3
34,34,2,234.0,144.0,3.06,0.5,1.76,4/6/2017 12:14,4/6/2017 12:37,1.0,0.0,1.0,1.0,N,0.0,0.3,18.36
35,35,1,264.0,24.0,2.85,0.5,3.2,4/7/2017 0:47,4/7/2017 1:00,1.0,0.0,1.0,1.0,N,0.5,0.3,17.15
36,36,1,237.0,142.0,1.45,0.5,1.4,4/3/2017 12:19,4/3/2017 12:25,1.0,0.0,1.0,1.0,N,0.0,0.3,8.75
37,37,2,186.0,100.0,0.0,0.5,0.54,4/4/2017 11:11,4/4/2017 11:20,1.0,0.0,2.0,1.0,N,0.0,0.3,7.3
38,38,1,161.0,161.0,1.0,0.5,0.5,4/3/2017 23:59,4/4/2017 0:02,1.0,0.0,1.0,1.0,N,0.5,0.3,6.3
39,39,2,107.0,75.0,1.0,0.5,4.02,4/7/2017 7:41,4/7/2017 8:10,1.0,0.0,1.0,1.0,N,0.0,0.3,22.3
40,40,1,140.0,263.0,1.25,0.5,0.7,4/6/2017 22:17,4/6/2017 22:22,1.0,0.0,1.0,1.0,N,0.5,0.3,7.55
41,41,2,140.0,263.0,2.19,0.5,1.5,4/6/2017 21:20,4/6/2017 21:24,5.0,0.0,1.0,1.0,N,0.5,0.3,9.49
42,42,2,170.0,236.0,0.0,0.5,2.96,4/3/2017 12:12,4/3/2017 12:31,5.0,0.0,2.0,1.0,N,0.0,0.3,14.8
43,43,2,141.0,233.0,0.0,0.5,1.1,4/5/2017 10:42,4/5/2017 10:49,3.0,0.0,2.0,1.0,N,0.0,0.3,7.8
44,44,1,142.0,239.0,0.0,0.5,0.5,4/7/2017 8:04,4/7/2017 8:07,1.0,0.0,2.0,1.0,N,0.0,0.3,5.3
45,45,1,148.0,261.0,0.0,0.5,2.5,4/3/2017 15:50,4/3/2017 15:58,2.0,0.0,2.0,1.0,N,0.0,0.3,10.3
46,46,2,236.0,238.0,1.76,0.5,1.31,4/3/2017 7:55,4/3/2017 8:05,2.0,0.0,1.0,1.0,N,0.0,0.3,10.56
47,47,1,161.0,233.0,1.55,0.5,1.0,4/4/2017 21:25,4/4/2017 21:32,1.0,0.0,1.0,1.0,N,0.5,0.3,9.35
48,48,2,68.0,237.0,5.46,0.5,2.36,4/6/2017 14:20,4/6/2017 15:07,1.0,0.0,1.0,1.0,N,0.0,0.3,32.76
49,49,1,24.0,41.0,1.0,0.5,0.9,4/7/2017 14:09,4/7/2017 14:16,1.0,0.0,1.0,1.0,N,0.0,0.3,8.3
50,50,2,113.0,79.0,0.0,0.5,0.99,4/5/2017 8:43,4/5/2017 8:53,1.0,0.0,2.0,1.0,N,0.0,0.3,7.8
51,51,2,229.0,141.0,0.75,0.5,0.81,4/4/2017 6:22,4/4/2017 6:25,3.0,0.0,1.0,1.0,N,0.0,0.3,6.05
52,52,2,186.0,162.0,0.0,0.5,1.6,4/5/2017 16:42,4/5/2017 16:57,6.0,0.0,2.0,1.0,N,1.0,0.3,12.3
53,53,2,237.0,237.0,0.0,0.5,0.44,4/3/2017 21:11,4/3/2017 21:13,1.0,0.0,2.0,1.0,N,0.5,0.3,4.8
54,54,1,161.0,48.0,1.65,0.5,0.8,4/7/2017 15:03,4/7/2017 15:12,2.0,0.0,1.0,1.0,N,0.0,0.3,9.95
55,55,2,113.0,125.0,2.32,0.5,1.19,4/6/2017 21:18,4/6/2017 21:28,1.0,0.0,1.0,1.0,N,0.5,0.3,11.62
56,56,1,113.0,170.0,0.0,0.5,1.2,4/3/2017 17:12,4/3/2017 17:22,1.0,0.0,2.0,1.0,N,1.0,0.3,9.8
57,57,1,237.0,236.0,0.0,0.5,1.0,4/7/2017 7:30,4/7/2017 7:38,1.0,0.0,2.0,1.0,N,0.0,0.3,7.8
58,58,2,114.0,79.0,2.2,0.5,1.39,4/7/2017 0:09,4/7/2017 0:17,1.0,0.0,1.0,1.0,N,0.5,0.3,11.0
59,59,2,234.0,90.0,1.36,0.5,0.59,4/4/2017 15:13,4/4/2017 15:20,1.0,0.0,1.0,1.0,N,0.0,0.3,8.16
60,60,1,141.0,7.0,3.2,0.5,3.0,4/6/2017 1:48,4/6/2017 1:59,3.0,0.0,1.0,1.0,N,0.5,0.3,16.0
61,61,2,13.0,234.0,0.0,0.5,2.34,4/3/2017 10:14,4/3/2017 10:27,1.0,0.0,2.0,1.0,N,0.0,0.3,11.8
62,62,2,237.0,137.0,1.4,0.5,2.12,4/4/2017 6:52,4/4/2017 7:06,4.0,0.0,1.0,1.0,N,0.0,0.3,13.2
63,63,1,138.0,138.0,0.0,0.5,2.2,4/3/2017 9:21,4/3/2017 9:32,1.0,0.0,2.0,1.0,N,0.0,0.3,10.3
64,64,2,138.0,170.0,0.0,0.5,8.45,4/5/2017 15:34,4/5/2017 16:20,4.0,5.76,2.0,1.0,N,0.0,0.3,40.06
65,65,2,231.0,125.0,1.2,0.5,1.15,4/4/2017 18:06,4/4/2017 18:12,6.0,0.0,1.0,1.0,N,1.0,0.3,9.0
66,66,2,143.0,239.0,1.56,0.5,1.06,4/5/2017 18:34,4/5/2017 18:40,1.0,0.0,1.0,1.0,N,1.0,0.3,9.36
67,67,1,239.0,237.0,1.25,0.5,1.2,4/5/2017 0:53,4/5/2017 0:59,1.0,0.0,1.0,1.0,N,0.5,0.3,9.55
68,68,1,236.0,237.0,1.0,0.5,1.6,4/30/2017 18:26,4/30/2017 18:34,1.0,0.0,1.0,1.0,N,0.0,0.3,10.3
69,69,2,140.0,161.0,0.0,0.5,1.7,4/5/2017 11:36,4/5/2017 11:46,2.0,0.0,2.0,1.0,N,0.0,0.3,10.3
70,70,2,114.0,158.0,2.0,0.5,0.77,4/6/2017 10:49,4/6/2017 10:54,1.0,0.0,1.0,1.0,N,0.0,0.3,7.8
71,71,2,249.0,107.0,2.36,0.5,1.78,4/4/2017 10:59,4/4/2017 11:15,1.0,0.0,1.0,1.0,N,0.0,0.3,14.16
72,72,1,237.0,234.0,3.65,0.5,2.2,4/4/2017 19:54,4/4/2017 20:08,1.0,0.0,1.0,1.0,N,1.0,0.3,15.95
73,73,2,170.0,246.0,0.0,0.5,2.53,4/3/2017 18:59,4/3/2017 19:14,3.0,0.0,2.0,1.0,N,1.0,0.3,13.3
74,74,2,48.0,164.0,0.0,0.5,0.59,4/6/2017 21:02,4/6/2017 21:06,1.0,0.0,2.0,1.0,N,0.5,0.3,5.8
75,75,2,170.0,237.0,1.86,0.5,1.28,4/4/2017 20:53,4/4/2017 21:02,1.0,0.0,1.0,1.0,N,0.5,0.3,11.16
76,76,1,4.0,116.0,1.0,0.5,9.5,4/5/2017 2:03,4/5/2017 2:24,1.0,0.0,1.0,1.0,N,0.5,0.3,29.8
77,77,2,162.0,74.0,2.26,0.5,3.01,4/7/2017 2:36,4/7/2017 2:44,6.0,0.0,1.0,1.0,N,0.5,0.3,13.56
78,78,2,263.0,237.0,0.0,0.5,1.36,4/6/2017 17:19,4/6/2017 17:27,1.0,0.0,2.0,1.0,N,1.0,0.3,9.3
79,79,1,158.0,48.0,2.35,0.5,2.1,4/7/2017 2:49,4/7/2017 3:02,4.0,0.0,1.0,1.0,N,0.5,0.3,14.15
80,80,2,158.0,164.0,3.95,0.5,2.17,4/4/2017 13:20,4/4/2017 13:43,1.0,0.0,1.0,1.0,N,0.0,0.3,19.75
81,81,2,48.0,137.0,1.0,0.5,1.53,4/4/2017 6:20,4/4/2017 6:28,1.0,0.0,1.0,1.0,N,0.0,0.3,9.8
82,82,2,163.0,138.0,7.51,0.5,10.61,4/5/2017 5:42,4/5/2017 6:05,1.0,5.76,1.0,1.0,N,0.5,0.3,45.07
83,83,1,79.0,113.0,3.0,0.5,0.9,4/7/2017 3:41,4/7/2017 3:47,1.0,0.0,1.0,1.0,N,0.5,0.3,10.3
84,84,2,224.0,230.0,0.0,0.5,2.72,4/5/2017 10:49,4/5/2017 11:15,5.0,0.0,2.0,1.0,N,0.0,0.3,17.8
85,85,2,239.0,238.0,4.0,0.5,1.25,4/6/2017 10:22,4/6/2017 10:28,1.0,0.0,1.0,1.0,N,0.0,0.3,11.3
86,86,1,163.0,211.0,2.0,0.5,3.5,4/3/2017 12:13,4/3/2017 12:43,1.0,0.0,1.0,1.0,N,0.0,0.3,21.8
87,87,1,230.0,186.0,0.0,0.5,0.9,4/3/2017 19:37,4/3/2017 19:41,1.0,0.0,2.0,1.0,N,1.0,0.3,7.3
88,88,2,142.0,68.0,0.0,0.5,2.29,4/6/2017 22:42,4/6/2017 22:59,4.0,0.0,2.0,1.0,N,0.5,0.3,14.3
89,89,1,90.0,164.0,1.55,0.5,1.0,4/4/2017 8:15,4/4/2017 8:23,1.0,0.0,1.0,1.0,N,0.0,0.3,9.35
90,90,2,223.0,132.0,14.64,0.5,14.4,4/5/2017 6:35,4/5/2017 6:56,1.0,5.76,1.0,2.0,N,0.0,0.3,73.2
91,91,1,230.0,161.0,0.0,0.5,0.9,4/30/2017 18:38,4/30/2017 18:46,1.0,0.0,2.0,1.0,N,0.0,0.3,6.3
92,92,2,162.0,87.0,4.46,0.5,5.46,4/6/2017 13:32,4/6/2017 13:56,3.0,0.0,1.0,1.0,N,0.0,0.3,26.76
93,93,2,179.0,179.0,0.0,0.5,0.0,4/4/2017 16:38,4/4/2017 16:38,1.0,0.0,2.0,1.0,N,1.0,0.3,4.3
94,94,2,75.0,75.0,0.0,0.5,0.48,4/4/2017 15:10,4/4/2017 15:17,1.0,0.0,2.0,1.0,N,0.0,0.3,6.8
95,95,2,142.0,230.0,0.0,0.5,1.39,4/5/2017 7:01,4/5/2017 7:07,2.0,0.0,2.0,1.0,N,0.0,0.3,7.3
96,96,2,236.0,239.0,1.96,0.5,1.9,4/5/2017 20:16,4/5/2017 20:25,1.0,0.0,1.0,1.0,N,0.5,0.3,11.76
97,97,1,138.0,100.0,7.5,0.5,8.3,4/6/2017 18:37,4/6/2017 19:08,2.0,5.76,1.0,1.0,N,1.0,0.3,43.56
98,98,2,48.0,138.0,0.0,0.5,13.04,4/3/2017 9:23,4/3/2017 10:00,5.0,5.76,2.0,1.0,N,0.0,0.3,47.56
99,99,1,68.0,237.0,0.0,0.5,3.0,4/6/2017 3:32,4/6/2017 3:45,1.0,0.0,2.0,1.0,N,0.5,0.3,12.8
100,100,2,140.0,226.0,0.0,0.5,3.37,4/6/2017 1:08,4/6/2017 1:37,1.0,0.0,2.0,1.0,N,0.5,0.3,20.3
101,101,2,79.0,249.0,0.0,0.5,1.08,4/3/2017 12:27,4/3/2017 12:34,2.0,0.0,2.0,1.0,N,0.0,0.3,7.3
102,102,2,230.0,48.0,0.0,0.5,0.25,4/5/2017 6:12,4/5/2017 6:14,1.0,0.0,2.0,1.0,N,0.0,0.3,4.3
103,103,2,90.0,68.0,1.06,0.5,0.54,4/5/2017 8:39,4/5/2017 8:42,1.0,0.0,1.0,1.0,N,0.0,0.3,6.36
104,104,1,125.0,145.0,3.0,0.5,5.2,4/4/2017 11:44,4/4/2017 12:05,1.0,5.76,1.0,1.0,N,0.0,0.3,29.06
105,105,2,132.0,234.0,17.57,0.5,17.04,4/3/2017 23:37,4/4/2017 0:01,2.0,5.76,1.0,2.0,N,0.0,0.3,76.13
106,106,2,48.0,7.0,3.0,0.5,4.19,4/4/2017 13:21,4/4/2017 13:46,2.0,0.0,1.0,1.0,N,0.0,0.3,22.3
107,107,2,161.0,50.0,0.0,0.5,1.03,4/4/2017 18:20,4/4/2017 18:28,4.0,0.0,2.0,1.0,N,1.0,0.3,8.8
108,108,2,161.0,164.0,2.04,0.5,0.93,4/7/2017 8:15,4/7/2017 8:23,5.0,0.0,1.0,1.0,N,0.0,0.3,8.84
109,109,1,75.0,75.0,0.0,0.5,0.5,4/7/2017 14:59,4/7/2017 15:06,1.0,0.0,2.0,1.0,N,0.0,0.3,6.3
110,110,2,142.0,48.0,1.92,0.5,1.02,4/5/2017 17:26,4/5/2017 17:42,6.0,0.0,1.0,1.0,N,1.0,0.3,14.72
111,111,1,238.0,236.0,1.95,0.5,1.2,4/7/2017 9:37,4/7/2017 9:49,1.0,0.0,1.0,1.0,N,0.0,0.3,11.75
112,112,2,137.0,141.0,3.08,0.5,2.32,4/6/2017 21:16,4/6/2017 21:30,1.0,0.0,1.0,1.0,N,0.5,0.3,15.38
113,113,2,87.0,144.0,2.0,0.5,1.52,4/6/2017 11:48,4/6/2017 12:05,1.0,0.0,1.0,1.0,N,0.0,0.3,14.3
114,114,2,141.0,262.0,1.46,0.5,0.98,4/6/2017 7:49,4/6/2017 7:56,1.0,0.0,1.0,1.0,N,0.0,0.3,8.76
115,115,2,162.0,162.0,2.0,0.5,1.82,4/7/2017 10:14,4/7/2017 10:39,5.0,0.0,1.0,1.0,N,0.0,0.3,17.8
116,116,1,238.0,42.0,3.05,0.5,3.0,4/5/2017 20:20,4/5/2017 20:37,1.0,0.0,1.0,1.0,N,0.5,0.3,18.35
117,117,1,164.0,90.0,1.85,0.5,1.3,4/5/2017 19:31,4/5/2017 19:39,1.0,0.0,1.0,1.0,N,1.0,0.3,11.15
118,118,1,161.0,261.0,4.25,0.5,5.3,4/5/2017 21:45,4/5/2017 22:08,1.0,0.0,1.0,1.0,N,0.5,0.3,25.55
119,119,1,237.0,236.0,0.0,0.5,1.0,4/5/2017 11:46,4/5/2017 11:55,1.0,0.0,2.0,1.0,N,0.0,0.3,8.3
120,120,2,151.0,237.0,2.46,0.5,2.59,4/5/2017 12:08,4/5/2017 12:22,3.0,0.0,1.0,1.0,N,0.0,0.3,14.76
121,121,2,234.0,138.0,7.51,0.5,9.41,4/4/2017 15:08,4/4/2017 15:39,2.0,5.76,1.0,1.0,N,0.0,0.3,45.07
122,122,1,79.0,79.0,1.0,0.5,0.9,4/5/2017 6:36,4/5/2017 6:42,1.0,0.0,1.0,1.0,N,0.0,0.3,7.8
123,123,1,132.0,33.0,10.75,0.5,15.0,4/6/2017 8:46,4/6/2017 9:54,1.0,0.0,1.0,1.0,N,0.0,0.3,64.55
124,124,1,170.0,141.0,1.95,0.5,1.6,4/4/2017 20:23,4/4/2017 20:33,1.0,0.0,1.0,1.0,N,0.5,0.3,11.75
125,125,1,79.0,233.0,2.35,0.5,2.1,4/7/2017 8:07,4/7/2017 8:21,1.0,0.0,1.0,1.0,N,0.0,0.3,14.15
126,126,1,164.0,141.0,3.35,0.5,2.5,4/6/2017 18:06,4/6/2017 18:29,1.0,0.0,1.0,1.0,N,1.0,0.3,20.15
127,127,1,79.0,137.0,1.45,0.5,1.0,4/3/2017 9:14,4/3/2017 9:21,1.0,0.0,1.0,1.0,N,0.0,0.3,8.75
128,128,1,263.0,166.0,2.0,0.5,2.6,4/5/2017 13:46,4/5/2017 14:02,1.0,0.0,1.0,1.0,N,0.0,0.3,15.8
129,129,2,107.0,100.0,2.46,0.5,1.88,4/3/2017 18:56,4/3/2017 19:10,1.0,0.0,1.0,1.0,N,1.0,0.3,14.76
130,130,1,137.0,234.0,1.5,0.5,1.0,4/3/2017 9:20,4/3/2017 9:29,1.0,0.0,1.0,1.0,N,0.0,0.3,10.3
131,131,1,132.0,218.0,0.0,0.5,3.6,4/3/2017 21:57,4/3/2017 22:06,1.0,0.0,2.0,1.0,N,0.5,0.3,13.8
132,132,1,186.0,107.0,0.0,0.5,1.1,4/4/2017 7:46,4/4/2017 7:55,1.0,0.0,2.0,1.0,N,0.0,0.3,8.3
133,133,1,230.0,82.0,4.0,0.5,7.0,4/4/2017 21:48,4/4/2017 22:21,1.0,0.0,1.0,1.0,N,0.5,0.3,32.8
134,134,1,239.0,238.0,1.0,0.5,0.9,4/6/2017 22:43,4/6/2017 22:48,1.0,0.0,1.0,1.0,N,0.5,0.3,7.8
135,135,2,107.0,262.0,3.26,0.5,3.44,4/3/2017 16:16,4/3/2017 16:34,1.0,0.0,1.0,1.0,N,1.0,0.3,19.56
136,136,1,100.0,100.0,1.0,0.5,0.2,4/5/2017 9:47,4/5/2017 9:50,1.0,0.0,1.0,1.0,N,0.0,0.3,5.3
137,137,1,162.0,141.0,2.05,0.5,1.9,4/4/2017 20:36,4/4/2017 20:45,1.0,0.0,1.0,1.0,N,0.5,0.3,12.35
138,138,2,230.0,170.0,0.0,0.5,1.03,4/6/2017 0:28,4/6/2017 0:33,1.0,0.0,2.0,1.0,N,0.5,0.3,6.8
139,139,1,79.0,68.0,0.0,0.5,2.3,4/7/2017 9:44,4/7/2017 9:59,1.0,0.0,2.0,1.0,N,0.0,0.3,12.8
140,140,2,68.0,100.0,2.36,0.5,1.54,4/5/2017 13:11,4/5/2017 13:27,1.0,0.0,1.0,1.0,N,0.0,0.3,14.16
141,141,1,237.0,237.0,0.0,0.5,1.1,4/4/2017 15:14,4/4/2017 15:24,2.0,0.0,2.0,1.0,N,0.0,0.3,8.8
142,142,2,75.0,246.0,4.66,0.5,5.79,4/4/2017 17:40,4/4/2017 18:03,1.0,0.0,1.0,1.0,N,1.0,0.3,27.96
143,143,2,164.0,163.0,2.06,0.5,1.8,4/5/2017 22:33,4/5/2017 22:43,1.0,0.0,1.0,1.0,N,0.5,0.3,12.36
144,144,1,143.0,230.0,1.5,0.5,1.1,4/3/2017 7:23,4/3/2017 7:28,1.0,0.0,1.0,1.0,N,0.0,0.3,7.8
145,145,2,231.0,45.0,1.56,0.5,0.87,4/6/2017 7:48,4/6/2017 7:56,6.0,0.0,1.0,1.0,N,0.0,0.3,9.36
146,146,1,100.0,107.0,2.0,0.5,1.5,4/4/2017 20:23,4/4/2017 20:33,1.0,0.0,1.0,1.0,N,0.5,0.3,11.8
147,147,2,107.0,224.0,0.0,0.5,1.05,4/6/2017 20:43,4/6/2017 20:51,1.0,0.0,2.0,1.0,N,0.5,0.3,8.3
148,148,2,79.0,68.0,0.0,0.5,1.53,4/5/2017 11:58,4/5/2017 12:12,1.0,0.0,2.0,1.0,N,0.0,0.3,10.8
149,149,1,233.0,231.0,3.25,0.5,3.2,4/4/2017 9:24,4/4/2017 9:47,3.0,0.0,1.0,1.0,N,0.0,0.3,19.55
150,150,1,137.0,50.0,2.65,0.5,2.2,4/6/2017 7:41,4/6/2017 7:58,1.0,0.0,1.0,1.0,N,0.0,0.3,15.95
151,151,2,113.0,261.0,0.0,0.5,3.18,4/5/2017 18:49,4/5/2017 19:05,4.0,0.0,2.0,1.0,N,1.0,0.3,15.3
152,152,2,170.0,229.0,0.0,0.5,1.21,4/5/2017 10:28,4/5/2017 10:37,1.0,0.0,2.0,1.0,N,0.0,0.3,7.3
153,153,2,170.0,164.0,0.0,0.5,0.71,4/6/2017 9:14,4/6/2017 9:27,1.0,0.0,2.0,1.0,N,0.0,0.3,9.8
154,154,2,237.0,186.0,0.0,0.5,3.01,4/4/2017 6:56,4/4/2017 7:11,1.0,0.0,2.0,1.0,N,0.0,0.3,13.8
155,155,1,233.0,107.0,2.0,0.5,1.1,4/3/2017 8:50,4/3/2017 8:57,1.0,0.0,1.0,1.0,N,0.0,0.3,9.3
156,156,2,12.0,162.0,0.0,0.5,5.8,4/30/2017 19:06,4/30/2017 19:23,1.0,0.0,2.0,1.0,N,0.0,0.3,19.8
157,157,2,262.0,237.0,1.76,0.5,1.26,4/3/2017 15:19,4/3/2017 15:29,2.0,0.0,1.0,1.0,N,0.0,0.3,10.56
158,158,1,144.0,231.0,0.0,0.5,1.4,4/3/2017 12:28,4/3/2017 12:38,1.0,0.0,2.0,1.0,N,0.0,0.3,8.8
159,159,2,162.0,234.0,1.7,0.5,1.03,4/5/2017 8:59,4/5/2017 9:05,1.0,0.0,1.0,1.0,N,0.0,0.3,8.5
160,160,1,48.0,82.0,10.95,0.5,8.4,4/6/2017 23:55,4/7/2017 0:29,1.0,5.76,1.0,1.0,N,0.5,0.3,47.51
161,161,2,230.0,230.0,0.0,0.5,0.62,4/5/2017 14:45,4/5/2017 14:52,1.0,0.0,2.0,1.0,N,0.0,0.3,6.8
162,162,2,132.0,222.0,0.0,0.5,8.12,4/4/2017 5:18,4/4/2017 5:33,1.0,0.0,1.0,1.0,N,0.5,0.3,25.3
163,163,2,261.0,45.0,0.0,0.5,1.92,4/6/2017 10:00,4/6/2017 10:33,1.0,0.0,2.0,1.0,N,0.0,0.3,19.8
164,164,2,158.0,249.0,0.96,0.5,0.47,4/4/2017 13:17,4/4/2017 13:20,2.0,0.0,1.0,1.0,N,0.0,0.3,5.76
165,165,2,151.0,151.0,0.8,0.5,0.56,4/6/2017 7:47,4/6/2017 7:50,1.0,0.0,1.0,1.0,N,0.0,0.3,8.05
166,166,1,249.0,186.0,0.0,0.5,0.8,4/4/2017 21:29,4/4/2017 21:34,1.0,0.0,2.0,1.0,N,0.5,0.3,6.8
167,167,1,43.0,113.0,3.55,0.5,3.0,4/4/2017 11:31,4/4/2017 11:57,2.0,0.0,1.0,1.0,N,0.0,0.3,21.35
168,168,1,164.0,138.0,6.0,0.5,11.5,4/3/2017 16:48,4/3/2017 17:56,1.0,5.76,1.0,1.0,N,1.0,0.3,58.06
169,169,2,75.0,231.0,2.0,0.5,10.09,4/6/2017 7:08,4/6/2017 7:36,2.0,0.0,1.0,1.0,N,0.0,0.3,34.3
170,170,1,90.0,230.0,0.0,0.5,1.4,4/5/2017 14:54,4/5/2017 15:05,1.0,0.0,2.0,1.0,N,0.0,0.3,9.3
171,171,1,223.0,41.0,4.3,0.5,4.5,4/4/2017 6:16,4/4/2017 6:30,1.0,5.76,1.0,1.0,N,0.0,0.3,25.86
172,172,2,186.0,162.0,1.54,0.5,1.87,4/4/2017 7:20,4/4/2017 7:31,2.0,0.0,1.0,1.0,N,0.0,0.3,11.84
173,173,2,138.0,48.0,9.26,0.5,9.61,4/7/2017 0:20,4/7/2017 0:44,1.0,5.76,1.0,1.0,N,0.5,0.3,46.32
174,174,2,237.0,161.0,0.0,0.5,1.1,4/6/2017 8:10,4/6/2017 8:17,1.0,0.0,2.0,1.0,N,0.0,0.3,7.3
